YEAR,EVENT_TYPE,TOR_F_SCALE
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F0
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F1
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F3
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F1
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Tornado,F1
1983,Tornado,F1
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F3
1983,Hail,
1983,Hail,
1983,Tornado,F3
1983,Tornado,F3
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F3
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Hail,
1983,Tornado,F1
1983,Tornado,F0
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Tornado,F1
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F2
1983,Tornado,F0
1983,Tornado,F2
1983,Tornado,F0
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F1
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Tornado,F2
1983,Tornado,F2
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F1
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F3
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Tornado,F0
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Tornado,F1
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Tornado,F0
1983,Hail,
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Tornado,F2
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Tornado,F0
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Tornado,F0
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Hail,
1983,Tornado,F1
1983,Tornado,F1
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Hail,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
1983,Thunderstorm Wind,
